BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,5,1,1,2,0,1,1,.292,.956
"Marte, SRF",5,0,0,0,0,2,0,.235,.650
LindorSS,4,0,0,0,0,0,0,.294,.917
Alonso1B,4,0,2,0,0,0,0,.268,.745
McCannC,0,0,0,0,0,0,0,.125,.487
Escobar3B,4,1,2,0,0,0,2,.267,.864
"Canó, RDH",4,0,0,0,0,0,3,.184,.488
CanhaLF,2,0,1,0,1,0,0,.317,.734
1-JankowskiPR-LF,0,1,0,0,0,0,0,.318,.718
McNeil2B,4,1,2,0,0,1,3,.316,.855
NidoC,3,0,0,0,0,3,2,.160,.314
"a-Smith, DoPH-1B",1,1,1,2,0,0,0,.207,.555
,36,5,9,4,1,7,11,,
