BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaDH,3,1,1,0,1,0,0,.208,.613
"Suzuki, SRF",3,0,0,0,1,2,2,.244,.828
HappLF,4,0,0,0,0,3,3,.266,.772
ContrerasC,3,0,1,1,1,0,0,.256,.821
Rivas1B,4,0,0,0,0,1,2,.290,.824
HoernerSS,4,0,1,0,0,0,1,.287,.736
Villar3B,3,0,1,0,0,0,1,.258,.594
HeywardCF,3,0,0,0,0,1,1,.212,.574
Madrigal2B,3,0,0,0,0,0,0,.213,.516
,30,1,4,1,3,7,10,,
