PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Germán,1.0,0,0,0,1,1,0,3.21
Luetge,0.2,2,1,1,0,0,0,2.63
"Weissert(H, 1)",0.1,1,0,0,0,0,0,7.88
"Peralta, Wa(W, 3-4)",2.1,1,0,0,0,0,0,2.44
Trivino,0.2,2,1,1,1,0,0,4.82
Marinaccio,1.0,2,1,1,0,2,0,1.93
Schmidt,2.0,1,0,0,0,4,0,2.70
Holmes,1.0,1,1,0,1,2,0,2.25
,9.0,10,4,3,3,9,0,
