BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, YDH",1,0,0,0,2,0,2,.292,.823
a-ChoiPH-DH,2,0,2,1,0,0,0,.233,.717
FrancoSS,2,0,0,0,0,0,1,.265,.713
Paredes3B,3,0,1,0,0,2,2,.213,.750
"Lowe, B2B",5,0,0,0,0,2,5,.221,.691
ArozarenaRF,4,1,1,0,0,0,2,.270,.796
PeraltaLF,4,0,1,0,0,0,1,.253,.751
BethancourtC,4,1,2,1,0,1,1,.243,.681
Walls3B-SS,4,1,1,1,0,1,1,.177,.549
Aranda1B,3,1,1,0,1,1,1,.391,.984
SiriCF,4,0,1,1,0,2,2,.216,.613
,36,4,10,4,3,9,18,,
