PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Suarez, J(L, 1-4)",3.2,5,6,6,3,6,3,5.60
"Peguero, E",1.1,1,1,1,0,1,1,7.90
Wantz,1.0,1,0,0,1,0,0,3.38
Warren,1.0,0,0,0,0,1,0,3.86
Loup,1.0,0,0,0,0,2,0,4.13
Quijada,1.0,0,0,0,0,1,0,2.16
,9.0,7,7,7,4,11,4,
