PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js(L, 7-6)",5.0,6,5,5,3,7,3,4.40
"Harvey, H",1.0,0,0,0,0,1,0,0.00
"Thompson, M",1.0,0,0,0,0,0,0,0.00
Abbott,2.0,2,1,1,0,3,1,3.00
,9.0,8,6,6,3,11,4,
