BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"García, LSS",4,1,2,1,0,0,0,.303,.747
Bell1B,5,0,1,0,0,1,4,.302,.870
"Soto, JRF",2,1,1,3,3,0,2,.245,.886
"Cruz, NDH",5,0,1,0,0,0,4,.240,.687
"Hernandez, YLF",4,0,0,0,0,2,0,.270,.729
Hernández2B,4,0,1,0,0,0,0,.241,.604
"Ruiz, KC",4,1,2,0,0,0,0,.259,.681
Franco3B,2,0,0,0,0,0,2,.234,.616
a-AdrianzaPH,1,0,0,0,0,0,0,.200,.491
"Thomas, LCF",4,1,2,0,0,0,2,.225,.665
,35,4,10,4,3,3,14,,
