PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"White, M",4.0,5,3,3,1,2,0,5.12
Mayza,0.1,1,2,2,1,1,0,2.98
"Bass(BS, 4)",0.2,2,1,1,2,0,1,1.52
Cimber,2.0,0,0,0,0,0,0,3.03
"Garcia, Y(L, 4-5)",1.0,3,4,1,2,1,0,3.14
,8.0,11,10,7,6,4,1,
