,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,622,554,89,131,17,63,8,.236,.312,.374,.686
9 Seasons,3420,2957,504,767,114,363,97,.259,.354,.433,.787
