Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-2,,0,0,-1,-1,0,-1,-1,-1,83,81,-2
2017,7,,-1,3,1,4,0,1,2,3,85,88,3
2018,0,,1,2,1,4,-1,-3,0,-4,88,88,0
2019,-10,,-2,1,-2,-3,-2,-4,-1,-8,84,79,-5
2020,-1,,0,0,0,-1,-1,0,1,0,82,80,-2
2021,-6,,0,0,1,1,-3,-2,-2,-7,87,85,-2
2022,-6,,0,-1,-3,-4,-2,0,-1,-2,87,84,-3
