 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,6,22,27.3,-2,-1.1,-0.8,-0.5,-2.4,30.9
2017,39,66,59.1,7,-0.3,0.8,-0.1,0.4,33.2
2018,30,63,47.6,1,-0.1,-0.2,-0.4,-0.8,33.2
2019,18,58,31,-9,-0.4,-0.6,-0.2,-1.1,31.6
2020,4,11,36.4,0,1.1,0.1,0.8,2.1,36.1
2021,20,56,35.7,-6,-0.4,-0.6,0.2,-0.9,32.1
2022,26,62,41.9,-3,-0.6,-0.4,0.5,-0.6,32.5
