Season,Team,Pos,PA,Depth (ft.),Angle
2016,STL,8,1024,310,-1
2016,STL,9,71,280,27
2016,STL,7,517,286,-28
2017,STL,7,3088,286,-29
2017,STL,9,47,300,27
2017,STL,8,1172,314,-1
2018,TB,7,1234,286,-29
2018,STL,8,3358,312,-1
2018,TB,8,59,309,1
2019,TB,7,4489,290,-28
2020,SD,7,622,296,-27
2021,SD,7,3790,297,-26
2021,SD,8,354,317,0
2021,SD,9,30,292,28
2022,CIN,7,3135,294,-29
2022,BOS,7,1795,299,-29
