 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,47,90.7,--,--,--,--,--,--,--,--,--,47,--,--,--,--,--
2021,287,92.5,86.0,--,--,--,--,--,--,--,--,263,85.8,20,--,4,--
2022,388,93.5,88.4,--,--,--,--,--,--,--,--,388,88.4,--,--,--,--
