 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,177,693,2,-1,4,3,8
2016,,182,762,-5,-4,3,3,-2
2017,,528,"2,109",1,2,21,11,34
2018,,567,"2,239",-5,-13,23,11,16
2019,,675,"2,690",-10,-15,29,13,17
2020,,149,604,-4,-5,6,2,-1
2021,,558,"2,374",-19,-18,23,12,-1
2022,,622,"2,505",-15,-16,19,11,-1
