Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,STL,NL,LF,2,0,3.0,2,2,0,0,0,,1.000
2014,STL,NL,RF,1,0,1.0,0,0,0,0,0,,.000
2015,STL,NL,LF,18,5,74.2,10,10,0,0,0,,1.000
2015,STL,NL,CF,33,29,242.2,54,52,2,0,1,,1.000
2015,STL,NL,RF,3,1,11.0,1,1,0,0,0,,1.000
2016,STL,NL,LF,30,11,123.2,18,18,0,0,0,,1.000
2016,STL,NL,CF,34,25,239.0,52,50,2,0,1,,1.000
2016,STL,NL,RF,5,1,15.0,3,3,0,0,0,,1.000
2017,STL,NL,LF,86,85,736.1,150,143,6,1,0,,.993
2017,STL,NL,CF,37,30,281.1,77,75,2,0,1,,1.000
2017,STL,NL,RF,1,1,9.0,2,2,0,0,0,,1.000
2018,STL,NL,CF,91,89,786.0,210,203,2,5,0,,.976
2018,TB,AL,CF,3,2,17.0,3,3,0,0,0,,1.000
2018,TB,AL,LF,37,35,303.2,62,60,2,0,0,,1.000
2018,TB,AL,DH,2,2,0.0,0,0,0,0,0,,.000
2018,2 Teams,,CF,94,91,803.0,213,206,2,5,0,,.977
2019,TB,AL,LF,123,123,1093.1,166,158,8,0,0,,1.000
2019,TB,AL,DH,21,21,0.0,0,0,0,0,0,,.000
2020,SD,NL,LF,18,18,149.0,30,28,1,1,0,,.967
2020,SD,NL,DH,13,13,0.0,0,0,0,0,0,,.000
2021,SD,NL,LF,113,108,899.0,194,190,2,2,1,,.990
2021,SD,NL,CF,11,10,91.0,23,23,0,0,0,,1.000
2021,SD,NL,RF,1,1,7.0,1,1,0,0,0,,1.000
2021,SD,NL,DH,3,3,0.0,0,0,0,0,0,,.000
2022,CIN,NL,LF,83,82,716.0,161,150,7,4,1,,.975
2022,CIN,NL,DH,8,8,0.0,0,0,0,0,0,,.000
2022,BOS,AL,LF,51,51,419.1,88,77,8,3,0,,.966
2022,BOS,AL,DH,2,2,0.0,0,0,0,0,0,,.000
2022,2 Teams,,LF,134,133,1135.1,249,227,15,7,1,,.972
2022,2 Teams,,DH,10,10,0.0,0,0,0,0,0,,.000
9 Seasons,5 Teams,,LF,561,518,4518.0,881,836,34,11,2,,.988
,4 Teams,,DH,49,49,0.0,0,0,0,0,0,,.000
,3 Teams,,CF,209,185,1657.0,419,406,8,5,3,,.988
,2 Teams,,RF,11,4,43.0,7,7,0,0,0,,1.000
