PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(W, 5-3)",7.0,2,2,0,0,6,1,3.03
Mayza,1.0,0,0,0,0,0,0,2.81
"Richards, T",1.0,0,0,0,0,3,0,5.61
,9.0,2,2,0,0,9,1,
