BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.1B,3,2,2,0,0,0,0,.192,.684
c-FloresPH-1B,2,0,0,0,0,1,2,.244,.751
YastrzemskiCF,2,1,1,0,1,0,1,.208,.678
d-LongoriaPH-3B,1,0,0,0,1,1,0,.256,.826
Estrada2B,4,0,2,0,1,1,6,.263,.723
PedersonLF,4,0,2,3,1,2,2,.271,.873
SlaterLF,0,0,0,0,0,0,0,.267,.774
"Crawford, BraSS",4,0,1,1,0,1,6,.227,.652
Villar3B,3,0,0,0,0,1,6,.164,.590
WynnsC,1,0,1,0,0,0,0,.229,.606
La StellaDH,4,0,0,0,0,0,4,.237,.624
"Gonzalez, LRF",2,0,0,0,0,1,0,.252,.696
a-BrinsonPH-CF,2,0,1,0,0,1,1,.500,1.250
KnappC,2,1,1,0,0,0,0,.128,.393
"b-Davis, JPH",0,1,0,0,1,0,0,.244,.728
"Johnson, BRF",1,0,0,0,0,1,1,.000,.000
,35,5,11,4,5,10,29,,
