PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Junis,4.1,7,3,2,2,5,1,4.05
Alexander,1.1,2,1,1,0,1,0,1.93
"Littell(W, 2-2)",0.1,0,0,0,0,0,0,4.38
"Brebbia(H, 16)",0.2,1,0,0,0,1,0,2.60
"García, J(H, 4)",0.1,0,0,0,1,1,0,2.77
"Young, Al(H, 4)",0.2,2,0,0,0,0,0,2.70
"Doval(S, 19)",1.1,0,0,0,0,2,0,2.78
,9.0,12,4,3,3,10,1,
