PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Mills, A",0.1,1,0,0,0,1,0,9.68
"Leiter Jr.(W, 2-2)",5.1,3,1,1,1,5,0,4.85
"Givens(H, 4)",2.0,0,0,0,0,0,0,3.45
"Robertson(S, 11)",1.1,1,0,0,1,2,0,1.72
,9.0,5,1,1,2,8,0,
