PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Winckowski(L, 3-2)",6.0,6,2,1,1,6,0,3.12
Brasier,1.0,0,0,0,0,2,0,4.15
Houck,1.0,2,1,1,0,3,0,3.54
,8.0,8,3,2,1,11,0,
