PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Pineda(W, 1-0)",5.0,3,0,0,0,2,0,0.00
"Barnes, J(H, 1)",1.0,1,0,0,0,0,0,0.00
"Peralta, Wi(H, 1)",1.0,0,0,0,0,1,0,0.00
"Lange(H, 2)",0.1,2,0,0,1,0,0,3.86
"Soto, G(S, 3)",1.2,1,0,0,0,1,0,1.59
,9.0,7,0,0,1,4,0,
