BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrossmanRF,3,1,3,1,1,0,0,.226,.600
Schoop2B,3,1,0,0,1,0,3,.111,.406
Candelario3B,4,0,0,0,0,0,5,.156,.446
"Cabrera, MDH",3,0,0,0,1,2,1,.308,.737
MeadowsLF,4,0,1,2,0,3,0,.306,.808
HaaseC,3,0,0,0,1,0,2,.160,.570
Torkelson1B,3,0,1,0,0,0,1,.206,.769
"Castro, WSS",3,0,1,0,0,0,1,.286,.661
"Reyes, VCF",3,1,1,0,0,0,1,.261,.711
,29,3,7,3,4,5,14,,
