PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Flaherty(L, 0-1)",5.0,6,1,1,1,6,0,4.15
Pallante,0.1,4,4,4,1,0,0,3.19
Stratton,0.2,1,0,0,1,0,0,4.53
"Thompson, Z.D.",1.0,1,0,0,1,0,0,2.16
Naile,2.0,2,1,1,1,0,1,1.13
,9.0,14,6,6,5,6,1,
