Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,34,24.4,,,52,14,600,12.6
2017,35,25.4,,,27,8,527,21.6
2019,37,24.4,,,37,2,595,13.0
2021,39,23.3,,,44,1,634,6.2
