Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
St. Louis Cardinals,MLB,First Inning,,,4.50,32,,,32.0,135,30,16,16,2,15,30,1.41
St. Louis Cardinals,MLB,Second Inning,,,4.22,32,,,32.0,140,35,16,15,3,10,35,1.41
St. Louis Cardinals,MLB,Third Inning,,,3.66,32,,,32.0,137,36,13,13,1,8,25,1.38
St. Louis Cardinals,MLB,Fourth Inning,,,2.90,31,,,31.0,131,32,10,10,3,8,14,1.29
St. Louis Cardinals,MLB,Fifth Inning,,,2.51,31,,,28.2,113,29,8,8,0,4,17,1.15
St. Louis Cardinals,MLB,Sixth Inning,,,4.95,23,,,20.0,86,18,11,11,4,8,13,1.30
St. Louis Cardinals,MLB,Seventh Inning,,,3.00,13,,,12.0,45,8,4,4,1,1,8,0.75
St. Louis Cardinals,MLB,Eighth Inning,,,9.00,2,,,2.0,9,3,2,2,2,0,0,1.50
St. Louis Cardinals,MLB,Ninth Inning,,,0.00,2,,,2.0,7,1,0,0,0,0,1,0.50
