Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Memphis Redbirds,Triple-A,First Inning,,,0.00,2,,,2.0,7,1,0,0,0,0,3,0.50
Springfield Cardinals,Double-A,First Inning,,,0.00,3,,,3.0,10,1,0,0,0,0,4,0.33
Palm Beach Cardinals,Class A Advanced,First Inning,,,0.00,2,,,2.0,6,1,0,0,0,0,3,0.50
Memphis Redbirds,Triple-A,Second Inning,,,0.00,2,,,2.0,8,2,0,0,0,1,3,1.50
Springfield Cardinals,Double-A,Second Inning,,,0.00,3,,,3.0,10,0,0,0,0,0,3,0.00
Palm Beach Cardinals,Class A Advanced,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Memphis Redbirds,Triple-A,Third Inning,,,0.00,2,,,2.0,7,2,0,0,0,0,1,1.00
Springfield Cardinals,Double-A,Third Inning,,,0.00,2,,,2.0,8,2,0,0,0,0,1,1.00
Memphis Redbirds,Triple-A,Fourth Inning,,,0.00,2,,,2.0,8,2,0,0,0,1,2,1.50
Springfield Cardinals,Double-A,Fourth Inning,,,0.00,1,,,1.0,5,2,0,0,0,0,1,2.00
Memphis Redbirds,Triple-A,Fifth Inning,,,0.00,1,,,1.0,6,1,0,0,0,2,2,3.00
Springfield Cardinals,Double-A,Fifth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,0,0.00
