BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",4,2,2,1,0,0,3,.313,.855
Robert Jr.CF,4,1,1,3,0,0,1,.192,.612
PollockLF,4,0,2,0,0,1,1,.231,.558
"Abreu, J1B",3,0,1,0,1,1,1,.217,.656
GrandalDH,3,0,1,0,1,1,3,.169,.496
Burger3B,4,0,0,0,0,3,4,.241,.644
EngelRF,4,0,1,0,0,0,3,.194,.525
McGuireC,3,0,0,0,0,0,3,.152,.376
Harrison2B,2,1,2,0,0,0,0,.135,.443
,31,4,10,4,2,6,19,,
