PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Suarez, J(L, 0-2)",4.0,8,4,4,2,4,2,6.35
Wantz,1.0,0,0,0,0,1,0,6.00
Barria,3.0,2,0,0,0,1,0,2.31
,8.0,10,4,4,2,6,2,
