BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,2,3,3,1,1,1,.264,.810
ZimmerCF,0,0,0,0,0,0,0,.128,.464
BichetteSS,5,0,1,0,0,1,4,.283,.798
Guerrero1B,5,0,1,1,0,1,3,.275,.819
KirkDH,5,1,1,1,0,1,1,.293,.806
"Chapman, M3B",2,1,0,0,2,1,0,.235,.778
"Hernández, TRF",4,1,2,2,0,0,1,.261,.788
Bradley Jr.RF,0,0,0,0,0,0,0,.204,.569
"Jansen, DC",3,0,0,0,1,1,2,.251,.824
Merrifield2B,4,0,0,0,0,2,2,.236,.647
"Tapia, RLF",4,2,2,0,0,0,0,.265,.673
,36,7,10,7,4,8,14,,
