,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,644,578,100,172,32,102,9,.298,.366,.531,.897
11 Seasons,6273,5673,839,1597,283,853,85,.282,.341,.493,.834
