Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,22,2789,528,40,7.6,5.6,91.4,114.9,12.8,29.7,.262,.447,.370,.345,.371,41.7,15.6,9.8
2016,23,2566,525,49,9.3,7.0,90.3,116.8,14.5,34.9,.289,.525,.366,.366,.425,43.2,17.2,6.9
2017,24,2548,524,55,10.5,8.0,91.3,116.3,13.6,30.3,.279,.517,.328,.360,.409,47.5,16.7,7.2
2018,25,2529,533,60,11.3,8.5,91.6,114.8,14.4,33.8,.284,.512,.377,.369,.408,48.2,14.7,9.9
2019,26,2418,462,37,8.0,5.6,91.2,112.6,13.0,31.2,.261,.463,.335,.343,.387,43.7,19.4,9.8
2020,27,936,191,21,11.0,8.3,90.2,115.7,15.6,34.6,.300,.540,.391,.385,.423,43.5,14.6,10.2
2021,28,2238,473,63,13.3,9.8,93.1,119.6,14.0,33.8,.291,.526,.350,.376,.421,52.2,15.9,9.8
2022,29,2371,447,44,9.8,6.8,91.5,112.4,16.0,36.7,.264,.447,.382,.338,.396,49.0,20.7,9.8
Player,,18395,3683,369,10.0,7.4,91.4,119.6,14.1,32.9,.277,.494,.360,.358,.404,46.3,17.0,9.1
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
