Season,Team,Pos,PA,Depth (ft.),Angle
2016,BAL,6,1535,149,-15
2016,BAL,5,4157,114,-33
2017,BAL,5,5915,115,-31
2018,LAD,5,566,120,-32
2018,BAL,6,3696,147,-13
2018,LAD,6,1724,147,-15
2019,SD,5,4451,116,-30
2019,SD,6,1283,149,-13
2020,SD,5,1917,120,-18
2021,SD,5,5240,120,-19
2022,SD,5,4757,120,-31
