Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,26.2,37,37.2,0,9,30,16,43.2
2017,,27.1,33,34.4,-1,19,22,17,51.5
2018,,25.9,40,37.0,3,10,26,20,50.0
2019,,26.2,32,30.2,2,12,21,15,46.9
2020,,26.8,18,17.8,0,4,9,11,61.1
2021,,28.1,28,32.5,-5,10,20,18,64.3
2022,,27.3,36,35.4,1,10,25,15,41.7
Player,,26.7,224,224.5,-1,74,153,112,50.0
