,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2012,BAL,AL,51,202,191,24,50,8,3,7,26,9,38,2,0,0,.262,.294,.445,.739
*,2013,BAL,AL,156,710,667,88,189,51,3,14,71,29,113,6,7,2,.283,.314,.432,.746
,2014,BAL,AL,82,354,327,38,91,14,0,12,32,20,68,2,0,3,.278,.324,.431,.755
*,2015,BAL,AL,162,713,633,102,181,30,1,35,86,70,111,20,8,4,.286,.359,.502,.861
*,2016,BAL,AL,157,696,640,105,188,40,1,37,96,48,120,0,3,3,.294,.343,.533,.876
,2017,BAL,AL,156,690,630,81,163,33,1,33,95,50,115,9,4,1,.259,.310,.471,.781
*,2018,BAL,AL,96,413,365,48,115,21,1,24,65,45,51,8,1,0,.315,.387,.575,.962
*,2018,LAD,NL,66,296,267,36,73,14,2,13,42,25,53,6,1,2,.273,.338,.487,.825
*,2018,2 Teams,,162,709,632,84,188,35,3,37,107,70,104,14,2,2,.297,.367,.538,.905
,2019,SD,NL,156,661,587,81,150,21,2,32,85,65,128,5,3,6,.256,.334,.462,.796
,2020,SD,NL,60,254,224,44,68,12,1,16,47,26,37,6,3,0,.304,.370,.580,.950
*,2021,SD,NL,153,640,564,92,157,31,2,28,106,63,102,12,3,2,.278,.347,.489,.836
*,2022,SD,NL,150,644,578,100,172,37,1,32,102,63,133,9,1,1,.298,.366,.531,.897
,11 Seasons,3 Teams,,1445,6273,5673,839,1597,312,18,283,853,513,1069,85,34,24,.282,.341,.493,.834
