PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Severino, L(W, 1-0)",5.0,2,0,0,2,6,0,2.25
"Luetge(H, 1)",1.0,1,0,0,0,3,0,0.00
"Castro(H, 2)",0.2,0,0,0,0,0,0,0.00
"Holmes(H, 2)",0.2,1,0,0,0,1,0,2.25
"Green(H, 2)",0.2,1,0,0,0,0,0,0.00
Chapman,0.0,0,0,0,3,0,0,0.00
"King(S, 1)",1.0,0,0,0,0,1,0,1.59
,9.0,5,0,0,5,11,0,
