PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Wainwright(L, 11-10)",6.0,6,4,4,2,1,1,3.38
Naughton,2.0,4,1,1,0,1,0,4.78
,8.0,10,5,5,2,2,1,
