BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Donovan2B,3,0,0,0,1,1,0,.280,.760
EdmanSS,4,0,0,0,0,0,1,.269,.733
Goldschmidt1B,4,0,1,0,0,1,0,.322,1.008
Arenado3B,3,0,1,0,0,0,0,.296,.901
DickersonLF,4,0,0,0,0,2,3,.279,.721
PujolsDH,3,0,2,0,1,0,0,.261,.852
BurlesonRF,4,0,1,0,0,1,3,.167,.398
MolinaC,3,0,0,0,0,0,2,.219,.551
NootbaarCF,2,0,0,0,0,0,1,.217,.759
a-CarlsonPH-CF,1,0,0,0,0,0,0,.239,.701
,31,0,5,0,2,5,10,,
