BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti3B,3,0,0,0,2,2,1,.263,.719
"Rojas, MSS",5,0,1,1,0,0,2,.231,.611
Aguilar1B,4,0,1,0,0,0,2,.236,.674
"Anderson, BDH",4,0,0,0,0,3,1,.243,.718
FortesC,4,1,2,1,0,0,1,.242,.762
EncarnacionRF,4,0,0,0,0,3,1,.200,.631
Leblanc2B,2,0,1,0,0,0,0,.328,.841
a-WendlePH-2B,1,0,0,0,0,0,0,.247,.628
BurdickCF,4,1,0,0,0,3,3,.150,.517
"Williams, LLF",2,0,0,0,0,1,1,.243,.632
b-BledayPH-LF,2,0,0,0,0,2,2,.200,.704
,35,2,5,2,2,14,14,,
