BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlLF,3,0,0,0,1,0,0,.242,.760
IndiaDH,4,0,0,0,0,1,1,.248,.703
"Farmer, K3B",4,0,0,0,0,0,0,.253,.700
FraleyRF,4,1,3,1,0,0,0,.259,.824
Solano1B,3,0,1,0,1,2,1,.292,.743
Steer2B,3,0,0,0,0,1,3,.213,.640
SianiCF,3,0,0,0,0,0,2,.154,.308
BarreroSS,3,0,0,0,0,1,0,.161,.412
RomineC,3,0,0,0,0,2,0,.160,.455
,30,1,4,1,2,7,7,,
