PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Sampson(W, 4-5)",7.0,3,1,1,2,6,1,3.10
Uelmen,1.0,0,0,0,0,0,0,4.97
Wick,1.0,1,0,0,0,1,0,4.35
,9.0,4,1,1,2,7,1,
