PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(W, 7-6)",7.0,5,2,2,2,4,0,4.23
Naughton,0.1,3,1,1,0,1,0,5.14
"Hicks, J",1.2,0,0,0,0,2,0,5.36
,9.0,8,3,3,2,7,0,
