PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Stroman(L, 3-6)",5.0,11,5,5,2,1,0,4.10
Newcomb,1.0,1,1,1,0,2,1,7.20
Rucker,1.0,1,0,0,0,1,0,3.99
"Castro, K",2.0,3,2,2,0,2,1,10.22
,9.0,16,8,8,2,6,2,
