PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Houser(L, 3-3)",4.0,6,7,3,4,3,0,3.86
Milner,1.0,1,1,1,0,0,0,4.50
Suter,1.0,2,0,0,0,0,0,4.09
Mejía,1.1,3,5,5,3,0,0,33.75
"Perdomo, L",0.2,2,1,1,0,0,1,6.00
,8.0,14,14,10,7,3,1,
