BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlCF,4,3,3,0,1,0,0,.220,.576
Drury2B,2,2,0,0,3,0,1,.267,.912
PhamLF,4,2,3,2,1,0,1,.245,.770
Moustakas3B,5,1,1,1,0,1,7,.254,.677
"Stephenson, TDH",5,2,3,4,0,0,4,.322,.956
Moran1B,4,3,2,3,1,1,2,.215,.720
NaquinRF,4,0,2,3,0,1,1,.230,.689
"Farmer, KSS",3,1,0,1,1,0,2,.196,.553
"Garcia, ArC",4,0,0,0,0,0,1,.179,.502
,35,14,14,14,7,3,19,,
