PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Gutierrez,4.2,6,4,4,2,6,2,8.65
"Díaz, A(W, 1-0)",1.1,0,0,0,1,2,0,0.59
Hoffman,2.0,2,1,1,0,1,1,1.93
Moreta,0.0,5,5,5,0,0,2,9.88
Kuhnel,1.0,2,1,1,0,1,0,4.50
,9.0,15,11,11,3,10,5,
