PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
Luzardo,6.1,4,1,1,2,7,0,3.44
"Okert(BS, 4)",0.2,1,0,0,0,1,0,2.57
"Floro(L, 0-2)",1.0,1,1,1,1,1,0,3.67
,8.0,6,2,2,3,9,0,
