PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(W, 7-2)",5.2,6,4,4,1,6,0,2.90
O'Day,0.1,0,0,0,0,1,0,3.60
"Stephens(S, 2)",3.0,1,0,0,0,1,0,2.42
,9.0,7,4,4,1,8,0,
