PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cole(W, 11-7)",6.2,5,1,1,2,14,1,3.20
"Luetge(S, 2)",2.1,3,0,0,0,3,0,2.55
,9.0,8,1,1,2,17,1,
