BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,5,0,1,0,0,1,1,.314,.800
CorreaSS,4,1,2,1,0,2,2,.271,.791
Miranda1B,3,0,0,0,1,1,1,.273,.775
Gordon2B,3,0,1,0,0,2,1,.275,.746
a-SanchezPH,1,0,0,0,0,1,0,.213,.676
Palacios2B,0,0,0,0,0,0,0,.192,.433
Urshela3B,4,0,2,0,0,1,2,.262,.725
GarlickRF,4,0,0,0,0,3,2,.250,.791
CaveLF,3,0,1,0,1,2,0,.225,.728
CelestinoCF,4,0,0,0,0,2,2,.247,.629
LeonC,3,0,1,0,0,2,0,.158,.505
b-HamiltonPH,1,0,0,0,0,0,1,.071,.204
,35,1,8,1,2,17,12,,
