PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Pérez,6.0,5,3,3,3,5,0,2.90
"Hernández, J",1.0,1,0,0,0,1,0,2.49
"Moore(W, 5-2)",1.0,1,0,0,0,1,0,1.99
"Leclerc(S, 7)",1.0,1,0,0,0,3,0,2.96
,9.0,8,3,3,3,10,0,
