BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,1,2,1,1,0,0,.254,.747
SeagerSS,4,2,1,2,0,1,3,.246,.781
"Lowe, N1B",4,0,1,1,0,2,0,.307,.863
"García, AdRF",4,0,1,1,0,2,0,.252,.758
HeimC,4,0,1,0,0,1,0,.230,.709
Jung3B,3,0,0,0,0,0,2,.196,.627
"Smith, JoshLF",2,1,0,0,1,0,0,.202,.569
CalhounDH,2,0,0,0,1,1,1,.203,.607
"1-Thompson, BPR-DH",0,0,0,0,0,0,0,.277,.655
TaverasCF,2,1,0,0,1,1,1,.270,.689
,28,5,6,5,4,8,7,,
