PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Lorenzen,5.0,2,3,3,2,7,0,4.78
"Loup(BS, 4)",0.2,3,0,0,0,0,0,3.83
Wantz,1.1,0,0,0,1,0,0,3.40
"Quijada(L, 0-5)",1.0,1,2,2,1,1,1,3.79
,8.0,6,5,5,4,8,1,
