BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Guillorme2B,3,2,3,0,1,0,0,.352,.890
"Marte, SRF",3,1,1,0,1,0,2,.275,.724
LindorSS,3,2,2,3,1,1,1,.260,.811
Alonso1B,3,1,1,1,0,0,3,.284,.871
McNeilLF,3,1,1,3,1,0,0,.319,.840
1-PlummerPR-LF,0,0,0,0,0,0,0,.000,.000
Escobar3B,4,1,1,0,0,0,3,.226,.674
CanhaCF,4,0,1,0,0,2,0,.291,.758
"Smith, DoDH",3,0,0,1,0,1,0,.190,.540
MazeikaC,4,0,0,0,0,1,0,.207,.621
,30,8,10,8,4,5,9,,
