PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(W, 1-2)",7.0,2,0,0,0,8,0,3.50
"Matzek(H, 2)",1.0,0,1,1,1,1,0,2.25
"Jansen(S, 3)",1.0,0,0,0,0,1,0,5.40
,9.0,2,1,1,1,10,0,
