PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Gray, S(L, 8-5)",2.0,5,4,4,1,1,1,3.08
Henriquez,4.0,4,3,3,2,2,1,6.75
Pagán,1.0,0,0,0,0,1,0,4.81
"López, Jo",0.2,4,4,4,2,0,1,2.73
Palacios,0.1,1,0,0,0,0,0,0.00
,8.0,14,11,11,5,4,3,
