BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,2,1,1,0,1,.291,.752
"Rosario, ASS",4,3,2,3,1,0,2,.283,.721
"Ramírez, JoDH",5,2,2,1,0,1,1,.281,.886
"Naylor, J1B",3,1,2,3,1,0,0,.256,.763
1-ClementPR-1B,0,0,0,0,0,0,0,.200,.485
"Gonzalez, ORF",5,0,1,0,0,1,4,.293,.793
Gimenez2B,5,0,2,1,0,1,2,.300,.844
"Freeman, T3B",5,0,1,0,0,0,3,.250,.619
MaileC,5,1,1,1,0,1,6,.221,.638
StrawCF,2,3,1,0,2,0,0,.217,.561
,38,11,14,10,5,4,19,,
