BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS-2B,5,3,3,0,0,1,0,.281,.766
GormanDH,5,1,1,3,0,2,4,.361,1.133
Goldschmidt1B,3,2,1,3,2,1,0,.349,1.057
Yepez1B,0,0,0,0,0,0,0,.271,.781
Arenado3B,4,1,2,1,0,1,1,.285,.867
"a-Sosa, EPH-SS",1,0,0,0,0,0,0,.212,.541
Donovan2B-3B,5,0,1,1,0,2,2,.296,.837
DickersonLF,5,2,2,2,0,2,3,.194,.531
NootbaarRF,5,1,2,2,0,0,1,.154,.496
BaderCF,5,2,2,0,0,1,1,.260,.683
KniznerC,3,2,1,1,1,0,1,.241,.649
,41,14,15,13,3,10,13,,
