PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(W, 4-3)",5.0,8,4,4,3,4,1,3.02
"Thompson, Z.D.(S, 1)",4.0,3,1,1,1,3,0,2.25
,9.0,11,5,5,4,7,1,
