BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,5,1,2,5,0,0,0,.255,.802
"Freeman, F1B",4,0,1,0,1,0,0,.316,.916
TurnerSS,5,0,0,0,0,3,3,.260,.676
"Smith, W.D.C",3,1,0,0,1,2,0,.233,.735
Muncy3B,2,1,0,0,2,1,0,.141,.618
"Turner, JDH",2,1,0,0,2,0,1,.180,.493
BellingerCF,3,0,0,0,1,1,4,.200,.695
"Taylor, ChLF",4,0,0,0,0,3,5,.278,.770
Alberto2B,1,1,0,1,1,0,0,.261,.596
a-LuxPH-2B,1,1,0,0,1,0,2,.254,.691
,30,6,3,6,9,10,15,,
