PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 3-0)",5.0,4,2,2,1,7,1,2.78
"Hudson, D(H, 5)",1.0,0,0,0,0,1,0,1.04
"Graterol(H, 4)",2.0,1,0,0,0,2,0,2.61
Kimbrel,1.0,1,0,0,1,1,0,1.17
,9.0,6,2,2,2,11,1,
