PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Norris(L, 0-2)",1.1,0,3,3,3,1,0,8.59
"Thompson, K",2.2,1,1,1,3,4,0,1.17
Martin,1.0,0,0,0,0,1,0,3.00
Wick,1.0,0,0,0,2,1,0,0.93
Effross,1.0,0,0,0,0,1,0,1.46
Givens,1.0,0,0,0,0,1,0,2.53
Robertson,1.0,2,2,2,1,1,1,1.50
,9.0,3,6,6,9,10,1,
