PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L",5.0,6,3,2,0,4,0,3.52
Festa,1.0,1,0,0,1,1,0,3.65
"Swanson, E",1.0,1,0,0,0,1,0,0.95
Sewald,1.0,0,0,0,1,1,0,2.22
"Muñoz, A",1.0,0,0,0,0,3,0,2.55
"Castillo. D(L, 7-2)",0.0,0,1,0,2,0,0,3.54
,9.0,8,4,2,4,10,0,
