BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,3,0,1,1,0,0,2,.182,.504
TurnerSS,4,0,1,0,0,2,4,.308,1.154
"Freeman, F1B",3,0,0,0,1,1,3,.200,.985
"Smith, W.D.DH-C",4,0,0,0,0,1,5,.231,.616
Muncy2B,4,0,1,0,0,2,1,.364,1.144
"Turner, J3B",4,0,0,0,0,1,1,.100,.350
"Taylor, ChLF",4,0,0,0,0,2,1,.000,.000
"Thompson, TCF",3,1,1,0,1,2,0,.111,.444
"Barnes, AC",2,0,2,0,0,0,0,.667,1.667
a-LuxPH,1,0,0,0,0,1,0,.333,.777
"Phillips, EP",0,0,0,0,0,0,0,.000,.000
KahnleP,0,0,0,0,0,0,0,.000,.000
,32,1,6,1,2,12,17,,
