Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2018,23,40,9,1,11.1,10.0,84.2,98.0,10.2,44.4,.333,.513,.448,.396,.364,22.2,0.0,10.0
2019,24,567,85,1,1.2,0.8,84.7,102.8,9.0,38.8,.248,.328,.323,.313,.317,16.5,18.8,14.8
2020,25,352,60,1,1.7,1.2,87.4,102.6,15.9,36.7,.222,.322,.223,.255,.319,21.7,25.6,4.7
2021,26,2653,448,6,1.3,0.9,87.1,109.8,11.9,42.6,.256,.333,.311,.303,.324,26.2,19.0,10.5
2022,27,2360,454,3,0.7,0.5,87.0,104.8,9.8,34.1,.236,.301,.257,.275,.278,26.5,14.6,9.1
Player,,5972,1056,12,1.1,0.8,86.9,109.8,11.0,38.4,.246,.320,.286,.290,.304,25.2,17.4,9.9
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
